Category,Mug,Bowl,Vase,Misc,,,Line,Japanese,Nature,Bow,Cloud,Lover,Modern
Nature Line,14,Mug,Flower Mug,9,9.9,22.99,13.09,56.94%,Yes,https://www.temu.com/1pc-flowers-pattern-ceramic-mug-coffee-cup-irregular-flower-milk-tea-cup-korean-style-oatmeal-breakfast-mug-drinkware-g-601099537269503.html?_oak_name_id=7141275779344253872&_oak_mp_inf=EP%2BFk6Om1ogBGhZnb29kc19reWJ1eWJfcmVjb21tZW5kINOW3ey0Mw%3D%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2FFancyalgo%2FVirtualModelMatting%2F8761a3e7f5e102c76c10dccce882e622.jpg&spec_gallery_id=2068432254&refer_page_sn=10032&refer_source=10016&freesia_scene=11&_oak_freesia_scene=11&_oak_rec_ext_1=ODQz&_oak_gallery_order=1562414390%2C1376198741%2C124142843%2C2006228685%2C1129960560&refer_page_el_sn=200444&_x_sessn_id=u958l8l85p&refer_page_name=goods&refer_page_id=10032_1766533319079_apnfsrz5gv,,,
Nature Line,15,Mug,flower Mug x 4,27,29.7,59.99,30.29,50.49%,Yes,https://www.temu.com/4pcs--250ml-ceramic-coffee-mugs-with-cute--vibrant-orange-pink-green-yellow--home-office-dorm-hand-wash-only-multi-purpose-use-coffee-bar-accessories-g-601101225366321.html?_oak_mp_inf=ELGmjMis1ogBGhVqd2dmdGhweGM4cm1jdXpoNGdmdjYg4ZTX7LQz&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fc99bef09-ea9e-4859-a2aa-e24e4eb968c9.jpg&spec_gallery_id=204528012327&refer_page_sn=20130&refer_source=0&freesia_scene=700&_oak_freesia_scene=700&_oak_rec_ext_1=MjMyOA&_oak_gallery_order=309926766%2C451917930%2C1449393719%2C684097386%2C1356911929&refer_page_el_sn=233141&_x_sessn_id=u958l8l85p&refer_page_name=Local%20Warehouse&refer_page_id=20130_1766533221450_wue95kwkg6,,,
Bow Line,16,Mug,Simple Mug,16,17.6,24.99,7.39,29.57%,Yes,https://www.temu.com/1pc-hand-molded-texture-ceramic-coffee-cup--style-irregular-mug-afternoon-tea-home-use-couple-drinking-water-cup-coffee-cups--coffee-mugs-mug-cup-coffee-mug-set-tea-cup-home-drinkware-handcrafted-mug-artistic-ceramic-cup-g-601104476046718.html?_oak_mp_inf=EP6Kkta41ogBGhVhcWI3NXJxa25wNjVkd3pueTcweXEgyZ2W7bQz&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F602b25ad-dfd3-46c7-9900-283afa82dc49.jpg&spec_gallery_id=214593197350&refer_page_sn=20130&refer_source=0&freesia_scene=700&_oak_freesia_scene=700&_oak_rec_ext_1=MTIyNA&_oak_gallery_order=1072881937%2C1847255185%2C1277949635%2C112697205%2C1512351192&refer_page_el_sn=233141&_x_sessn_id=u958l8l85p&refer_page_name=Local%20Warehouse&refer_page_id=20130_1766534234987_c3sr58ydzg,,,
Bow Line,17,Bowl,Bow Pot with glass lid,16,17.6,44.99,27.39,60.88%,Yes,https://www.temu.com/1pc-22-7oz-pink-bow-ceramic-soup-bowl-with-glass-lid-large-capacity-cute-porcelain-ramen-bowl-for-ramen-cereal-breakfast-meal-prep--dorm-living-microwave-safe-round-shape--brand-g-601105273647652.html?_oak_mp_inf=EKTku9K71ogBGiBhMDQ5OTQ3MmFhYTY0NzRjOWEzMTE2NzYyMzIzY2Q0OSDQ7LLwtDM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F1141fe2e-0d9c-4ad9-83e5-cd82b359bb53.jpg&spec_gallery_id=219186195555&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTYyOA&_oak_gallery_order=328406878%2C143280953%2C1998216922%2C1970111989%2C1061896858&search_query=handmade%20ceramic%20bowl&search_key=handmade%20ceramic%20bowl&refer_page_el_sn=200049&_x_chnl_src=top_icon&_x_sessn_id=u958l8l85p&refer_page_name=search_result&refer_page_id=10009_1766541015373_qets8npq8p,,,
No Line,18,Bowl,Cute Painting Boal,12,13.2,24.99,11.79,47.18%,Yes,https://www.temu.com/chic-vintage-inspired-ceramic-salad-bowl-6-76oz-handcrafted--for-desserts-snacks-cereal-yogurt-g-601099612033239.html?_oak_name_id=3980785255215915190&_oak_mp_inf=ENeh5sam1ogBGiBhMDQ5OTQ3MmFhYTY0NzRjOWEzMTE2NzYyMzIzY2Q0OSDP7LLwtDM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F59cb08d2-4a27-4ef6-9023-6e582023b3d0.jpg&spec_gallery_id=2418252805&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTE1MA&_oak_gallery_order=1049698727%2C1601362757%2C1468375467%2C1915131620%2C2087034336&search_query=handmade%20ceramic%20bowl&search_key=handmade%20ceramic%20bowl&refer_page_el_sn=200049&_x_chnl_src=top_icon&_x_sessn_id=u958l8l85p&refer_page_name=search_result&refer_page_id=10009_1766541015373_qets8npq8p,,,
Japanese Line,19,Misc,Japanese Spice holder,11,12.1,24.99,12.89,51.58%,Yes,https://www.temu.com/1pc-cute-ceramic-spice-jar-with-lid-spoon-seasoning-jar-seasoning-bottle-spice-box-for-spices-salt-sugar-g-601102493878251.html?_oak_name_id=332906047453585889&_oak_mp_inf=EOuP%2FKSx1ogBGhVhcWI3NXJxa25wNjVkd3pueTcweXEgw52W7bQz&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F7c6c8e8c-7a47-4d7c-8b25-5b07b67aed05.jpg&spec_gallery_id=206647468754&refer_page_sn=20130&refer_source=0&freesia_scene=700&_oak_freesia_scene=700&_oak_rec_ext_1=ODU2&_oak_gallery_order=139308008%2C1588502731%2C2002358316%2C2093569540%2C1620815489&refer_page_el_sn=233141&_x_sessn_id=u958l8l85p&refer_page_name=Local%20Warehouse&refer_page_id=20130_1766534234987_c3sr58ydzg,,,
No Line,20,Vase,6 multi color mini pots,20,22,44.99,22.99,51.10%,Yes,https://www.temu.com/6-pack-multicolor--ceramic-pots-with-artificial-succulents-mini-tabletop-decor-artificial-potted-plants-for-home-decoration-g-601102470112020.html?_oak_name_id=484697703858481629&_oak_mp_inf=EJTG0Zmx1ogBGhVjbWl6eHl1YzRmczRkZTNjcWNpdzIgwNWY8bQz&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fdf8e2664-b416-4103-834a-6a3334180f5c.jpg&spec_gallery_id=206434826559&refer_page_sn=20130&refer_source=0&freesia_scene=700&_oak_freesia_scene=700&_oak_rec_ext_1=MTgzMg&_oak_gallery_order=2067800184%2C1545571967%2C1956736120%2C1646889150%2C630086465&refer_page_el_sn=233141&_x_sessn_id=u958l8l85p&refer_page_name=Local%20Warehouse&refer_page_id=20130_1766542683108_hotf3y743p,,,
Modern Line,21,Vase,Round Circular,5,5.5,29.99,24.49,81.66%,Yes,https://www.aliexpress.us/item/3256808795876987.html?spm=a2g0o.productlist.main.1.4fa4uITSuITSMN&algo_pvid=f968a035-bb01-4b67-aac8-a88d367c0027&algo_exp_id=f968a035-bb01-4b67-aac8-a88d367c0027-12&pdp_ext_f=%7B%22order%22%3A%2238%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2132.77%213.88%21%21%21229.16%2127.15%21%402103212317665431746995154e0b51%2112000047452832911%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A783f4a1%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=JtKXl9xwOCtR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008982191739%7C_p_origin_prod%3A,,,
Modern Line,22,Vase,Interlinked Vase,20,22,54.99,32.99,59.99%,Yes,https://www.aliexpress.us/item/3256807345399896.html?spm=a2g0o.productlist.main.2.4fa4uITSuITSMN&algo_pvid=f968a035-bb01-4b67-aac8-a88d367c0027&algo_exp_id=f968a035-bb01-4b67-aac8-a88d367c0027-13&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2182.83%2119.51%21%21%21579.20%21136.39%21%402103212317665431746995154e0b51%2112000041178886996%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A783f4a1%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=LlrDd2FelSHc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007531714648%7C_p_origin_prod%3A,,,
Modern Line,23,Vase,Jug Vase,5,5.5,24.99,19.49,77.99%,Yes,https://www.aliexpress.us/item/3256808963398777.html?spm=a2g0o.productlist.main.10.4fa4uITSuITSMN&algo_pvid=f968a035-bb01-4b67-aac8-a88d367c0027&algo_exp_id=f968a035-bb01-4b67-aac8-a88d367c0027-1&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2131.59%213.37%21%21%21220.89%2123.58%21%402103212317665431746995154e0b51%2112000048096366914%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A783f4a1%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=QC4cKXS4aikF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009149713529%7C_p_origin_prod%3A,,,
Modern Line,24,Misc,Ash Tray,10,11,24.99,13.99,55.98%,Yes,https://www.aliexpress.us/item/3256810348808387.html?spm=a2g0o.productlist.main.20.2765umsqumsqZg&algo_pvid=8c742ebb-4d76-4a12-b75f-9ca47c11f4c2&algo_exp_id=8c742ebb-4d76-4a12-b75f-9ca47c11f4c2-19&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.18%210.99%21%21%2136.25%216.95%21%402101d6ff17665439183348536e9ee4%2112000052735222353%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A783f4a1%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=xkfaqX6q4avE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010535123139%7C_p_origin_prod%3A,,,
Japanese Line,25,Bowl,Japanese 7.5 inch bowl,,,,,,Yes,https://www.aliexpress.us/item/3256807387446078.html?spm=a2g0o.productlist.main.5.425e5203MMTCfN&algo_pvid=278eedf7-3875-4045-a263-4462325a4a1a&algo_exp_id=278eedf7-3875-4045-a263-4462325a4a1a-4&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21137.39%2138.11%21%21%21960.79%21266.54%21%402101e80317665447520123047e1834%2112000041351698983%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A783f4a1%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=HXIdFSPWQAS6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007573760830%7C_p_origin_prod%3A,,,
Modern Line,26,Vase,Pitcher Vase,$19.00,$20.90,55,$34.10,62.00%,Yes,https://www.temu.com/1pc-rustic-ceramic-vase-with-handle--pitcher-for-home-decor-cylindrical-tabletop-display-durable-ceramic-material-no-electricity-needed-decorative--birthday-gifts-christmas-gifts-halloween-gifts-g-601101412231504.html?_oak_mp_inf=ENDSmaGt1ogBGhVqd2dmdGhweGM4cm1jdXpoNGdmdjYgkdHZ7LQz&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F390dd0a7-2e5d-45a4-9515-0013e25b2604.jpg&spec_gallery_id=202457511898&refer_page_sn=20130&refer_source=0&freesia_scene=700&_oak_freesia_scene=700&_oak_rec_ext_1=MTU1Mw&_oak_gallery_order=1685803512%2C2122150774%2C838046646%2C1036638225%2C1747698726&refer_page_el_sn=233141&_x_sessn_id=u958l8l85p&refer_page_name=Local%20Warehouse&refer_page_id=20130_1766533221450_wue95kwkg6,,,
